Word,Count
*,44
,20
on,20
by,18
alex.lahdekorpi,18
Created,18
5.7.2017,5
27.6.2017,5
lepakko,4
touch,4
28.6.2017,3
of,3
26.6.2017,2
<a,2
@see,2
if,2
will,2
\test,\,2
the,2
under,2
\href="\http://d.android.com/tools/testing"\>Testing\,2
execute,2
documentation</a>,2
which,2
left,1
Example,1
app,1
unit,1
22.6.2017,1
METHODS,1
machine,1
SPACEOBJECT,1
CREATE,1
development,1
(host),1
Class,1
Status,1
Instrumentation,1
local,1
Check,1
checks,1
device,1
\this.collideable,\,1
above,1
11.7.2017,1
hits,1
Initialize,1
IMPLEMENTED,1
not,1
with,1
GETSET,1
SpaceObjects,1
3.7.2017,1
Android,1
HITCHECKER,1
otherCol,1
test,1
FOR,1
Context,1
right,1
an,1
MOVEMENT,1
false,1
